Category,Name,Type,Description,Display Name,Unit
Colreg_R22,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R22,ReportTime,double,Report time, Time,
Colreg_R22,Clause,string,Clause ID,Clause identifier,
Colreg_R22,Penalty,float,Penalty Score,Penalty Score,
Colreg_R22,Situation,string,Situation,Situation description,
Colreg_R22,Info,string,Info,Additional information,
Colreg_R23,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R23,ReportTime,double,Report time, Time,
Colreg_R23,Clause,string,Clause ID,Clause identifier,
Colreg_R23,Penalty,float,Penalty Score,Penalty Score,
Colreg_R23,Situation,string,Situation,Situation description,
Colreg_R23,Info,string,Info,Additional information,
Colreg_R24,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R24,ReportTime,double,Report time, Time,
Colreg_R24,Clause,string,Clause ID,Clause identifier,
Colreg_R24,Penalty,float,Penalty Score,Penalty Score,
Colreg_R24,Situation,string,Situation,Situation description,
Colreg_R24,Info,string,Info,Additional information,
Colreg_R25,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R25,ReportTime,double,Report time, Time,
Colreg_R25,Clause,string,Clause ID,Clause identifier,
Colreg_R25,Penalty,float,Penalty Score,Penalty Score,
Colreg_R25,Situation,string,Situation,Situation description,
Colreg_R25,Info,string,Info,Additional information,
Colreg_R26,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R26,ReportTime,double,Report time, Time,
Colreg_R26,Clause,string,Clause ID,Clause identifier,
Colreg_R26,Penalty,float,Penalty Score,Penalty Score,
Colreg_R26,Situation,string,Situation,Situation description,
Colreg_R26,Info,string,Info,Additional information,
Colreg_R27,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R27,ReportTime,double,Report time, Time,
Colreg_R27,Clause,string,Clause ID,Clause identifier,
Colreg_R27,Penalty,float,Penalty Score,Penalty Score,
Colreg_R27,Situation,string,Situation,Situation description,
Colreg_R27,Info,string,Info,Additional information,
Colreg_R28,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R28,ReportTime,double,Report time, Time,
Colreg_R28,Clause,string,Clause ID,Clause identifier,
Colreg_R28,Penalty,float,Penalty Score,Penalty Score,
Colreg_R28,Situation,string,Situation,Situation description,
Colreg_R28,Info,string,Info,Additional information,
Colreg_R29,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R29,ReportTime,double,Report time, Time,
Colreg_R29,Clause,string,Clause ID,Clause identifier,
Colreg_R29,Penalty,float,Penalty Score,Penalty Score,
Colreg_R29,Situation,string,Situation,Situation description,
Colreg_R29,Info,string,Info,Additional information,
Colreg_R30,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R30,ReportTime,double,Report time, Time,
Colreg_R30,Clause,string,Clause ID,Clause identifier,
Colreg_R30,Penalty,float,Penalty Score,Penalty Score,
Colreg_R30,Situation,string,Situation,Situation description,
Colreg_R30,Info,string,Info,Additional information,
Colreg_R31,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R31,ReportTime,double,Report time, Time,
Colreg_R31,Clause,string,Clause ID,Clause identifier,
Colreg_R31,Penalty,float,Penalty Score,Penalty Score,
Colreg_R31,Situation,string,Situation,Situation description,
Colreg_R31,Info,string,Info,Additional information,
Colreg_R32,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R32,ReportTime,double,Report time, Time,
Colreg_R32,Clause,string,Clause ID,Clause identifier,
Colreg_R32,Penalty,float,Penalty Score,Penalty Score,
Colreg_R32,Situation,string,Situation,Situation description,
Colreg_R32,Info,string,Info,Additional information,
Colreg_R33,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R33,ReportTime,double,Report time, Time,
Colreg_R33,Clause,string,Clause ID,Clause identifier,
Colreg_R33,Penalty,float,Penalty Score,Penalty Score,
Colreg_R33,Situation,string,Situation,Situation description,
Colreg_R33,Info,string,Info,Additional information,
Colreg_R34,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R34,ReportTime,double,Report time, Time,
Colreg_R34,Clause,string,Clause ID,Clause identifier,
Colreg_R34,Penalty,float,Penalty Score,Penalty Score,
Colreg_R34,Situation,string,Situation,Situation description,
Colreg_R34,Info,string,Info,Additional information,
Colreg_R35,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R35,ReportTime,double,Report time, Time,
Colreg_R35,Clause,string,Clause ID,Clause identifier,
Colreg_R35,Penalty,float,Penalty Score,Penalty Score,
Colreg_R35,Situation,string,Situation,Situation description,
Colreg_R35,Info,string,Info,Additional information,
Colreg_R36,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R36,ReportTime,double,Report time, Time,
Colreg_R36,Clause,string,Clause ID,Clause identifier,
Colreg_R36,Penalty,float,Penalty Score,Penalty Score,
Colreg_R36,Situation,string,Situation,Situation description,
Colreg_R36,Info,string,Info,Additional information,
Colreg_R37,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R37,ReportTime,double,Report time, Time,
Colreg_R37,Clause,string,Clause ID,Clause identifier,
Colreg_R37,Penalty,float,Penalty Score,Penalty Score,
Colreg_R37,Situation,string,Situation,Situation description,
Colreg_R37,Info,string,Info,Additional information,
Colreg_R38,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R38,ReportTime,double,Report time, Time,
Colreg_R38,Clause,string,Clause ID,Clause identifier,
Colreg_R38,Penalty,float,Penalty Score,Penalty Score,
Colreg_R38,Situation,string,Situation,Situation description,
Colreg_R38,Info,string,Info,Additional information,
Colreg_R39,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R39,ReportTime,double,Report time, Time,
Colreg_R39,Clause,string,Clause ID,Clause identifier,
Colreg_R39,Penalty,float,Penalty Score,Penalty Score,
Colreg_R39,Situation,string,Situation,Situation description,
Colreg_R39,Info,string,Info,Additional information,
Colreg_R40,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R40,ReportTime,double,Report time, Time,
Colreg_R40,Clause,string,Clause ID,Clause identifier,
Colreg_R40,Penalty,float,Penalty Score,Penalty Score,
Colreg_R40,Situation,string,Situation,Situation description,
Colreg_R40,Info,string,Info,Additional information,
Colreg_R41,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R41,ReportTime,double,Report time, Time,
Colreg_R41,Clause,string,Clause ID,Clause identifier,
Colreg_R41,Penalty,float,Penalty Score,Penalty Score,
Colreg_R41,Situation,string,Situation,Situation description,
Colreg_R41,Info,string,Info,Additional information,
Solas_C01,CaseId,int,Scenario Key, Scenario hash key,
Solas_C01,ReportTime,double,Report time, Time,
Solas_C01,Clause,string,Clause ID,Clause identifier,
Solas_C01,Penalty,float,Penalty Score,Penalty Score,
Solas_C01,Situation,string,Situation,Situation description,
Solas_C01,Info,string,Info,Additional information,
Solas_C02,CaseId,int,Scenario Key, Scenario hash key,
Solas_C02,ReportTime,double,Report time, Time,
Solas_C02,Clause,string,Clause ID,Clause identifier,
Solas_C02,Penalty,float,Penalty Score,Penalty Score,
Solas_C02,Situation,string,Situation,Situation description,
Solas_C02,Info,string,Info,Additional information,
Solas_C03,CaseId,int,Scenario Key, Scenario hash key,
Solas_C03,ReportTime,double,Report time, Time,
Solas_C03,Clause,string,Clause ID,Clause identifier,
Solas_C03,Penalty,float,Penalty Score,Penalty Score,
Solas_C03,Situation,string,Situation,Situation description,
Solas_C03,Info,string,Info,Additional information,
Solas_C04,CaseId,int,Scenario Key, Scenario hash key,
Solas_C04,ReportTime,double,Report time, Time,
Solas_C04,Clause,string,Clause ID,Clause identifier,
Solas_C04,Penalty,float,Penalty Score,Penalty Score,
Solas_C04,Situation,string,Situation,Situation description,
Solas_C04,Info,string,Info,Additional information,
Solas_C05,CaseId,int,Scenario Key, Scenario hash key,
Solas_C05,ReportTime,double,Report time, Time,
Solas_C05,Clause,string,Clause ID,Clause identifier,
Solas_C05,Penalty,float,Penalty Score,Penalty Score,
Solas_C05,Situation,string,Situation,Situation description,
Solas_C05,Info,string,Info,Additional information,
Solas_C06,CaseId,int,Scenario Key, Scenario hash key,
Solas_C06,ReportTime,double,Report time, Time,
Solas_C06,Clause,string,Clause ID,Clause identifier,
Solas_C06,Penalty,float,Penalty Score,Penalty Score,
Solas_C06,Situation,string,Situation,Situation description,
Solas_C06,Info,string,Info,Additional information,
Solas_C07,CaseId,int,Scenario Key, Scenario hash key,
Solas_C07,ReportTime,double,Report time, Time,
Solas_C07,Clause,string,Clause ID,Clause identifier,
Solas_C07,Penalty,float,Penalty Score,Penalty Score,
Solas_C07,Situation,string,Situation,Situation description,
Solas_C07,Info,string,Info,Additional information,
Solas_C08,CaseId,int,Scenario Key, Scenario hash key,
Solas_C08,ReportTime,double,Report time, Time,
Solas_C08,Clause,string,Clause ID,Clause identifier,
Solas_C08,Penalty,float,Penalty Score,Penalty Score,
Solas_C08,Situation,string,Situation,Situation description,
Solas_C08,Info,string,Info,Additional information,
Solas_C09,CaseId,int,Scenario Key, Scenario hash key,
Solas_C09,ReportTime,double,Report time, Time,
Solas_C09,Clause,string,Clause ID,Clause identifier,
Solas_C09,Penalty,float,Penalty Score,Penalty Score,
Solas_C09,Situation,string,Situation,Situation description,
Solas_C09,Info,string,Info,Additional information,
Solas_C10,CaseId,int,Scenario Key, Scenario hash key,
Solas_C10,ReportTime,double,Report time, Time,
Solas_C10,Clause,string,Clause ID,Clause identifier,
Solas_C10,Penalty,float,Penalty Score,Penalty Score,
Solas_C10,Situation,string,Situation,Situation description,
Solas_C10,Info,string,Info,Additional information,
Solas_C11,CaseId,int,Scenario Key, Scenario hash key,
Solas_C11,ReportTime,double,Report time, Time,
Solas_C11,Clause,string,Clause ID,Clause identifier,
Solas_C11,Penalty,float,Penalty Score,Penalty Score,
Solas_C11,Situation,string,Situation,Situation description,
Solas_C11,Info,string,Info,Additional information,
Solas_C12,CaseId,int,Scenario Key, Scenario hash key,
Solas_C12,ReportTime,double,Report time, Time,
Solas_C12,Clause,string,Clause ID,Clause identifier,
Solas_C12,Penalty,float,Penalty Score,Penalty Score,
Solas_C12,Situation,string,Situation,Situation description,
Solas_C12,Info,string,Info,Additional information,
Solas_C13,CaseId,int,Scenario Key, Scenario hash key,
Solas_C13,ReportTime,double,Report time, Time,
Solas_C13,Clause,string,Clause ID,Clause identifier,
Solas_C13,Penalty,float,Penalty Score,Penalty Score,
Solas_C13,Situation,string,Situation,Situation description,
Solas_C13,Info,string,Info,Additional information,
Solas_C14,CaseId,int,Scenario Key, Scenario hash key,
Solas_C14,ReportTime,double,Report time, Time,
Solas_C14,Clause,string,Clause ID,Clause identifier,
Solas_C14,Penalty,float,Penalty Score,Penalty Score,
Solas_C14,Situation,string,Situation,Situation description,
Solas_C14,Info,string,Info,Additional information,
Solas_C15,CaseId,int,Scenario Key, Scenario hash key,
Solas_C15,ReportTime,double,Report time, Time,
Solas_C15,Clause,string,Clause ID,Clause identifier,
Solas_C15,Penalty,float,Penalty Score,Penalty Score,
Solas_C15,Situation,string,Situation,Situation description,
Solas_C15,Info,string,Info,Additional information,
Crs_Highsea_Misc,CaseId,int,Scenario Key, Scenario hash key,
Crs_Highsea_Misc,ReportTime,double,Report time, Time,
Crs_Highsea_Misc,Type,int,Crs Code,Crs identification code,
Crs_Highsea_Misc,Penalty,float,Penalty Score,Penalty Score,
Crs_Highsea_Misc,Situation,string,Situation,Situation description,
Crs_Highsea_Misc,Info,string,Info,Additional information,
Crs_Highsea_Plan,CaseId,int,Scenario Key, Scenario hash key,
Crs_Highsea_Plan,ReportTime,double,Report time, Time,
Crs_Highsea_Plan,Type,int,Crs Code,Crs identification code,
Crs_Highsea_Plan,Penalty,float,Penalty Score,Penalty Score,
Crs_Highsea_Plan,Situation,string,Situation,Situation description,
Crs_Highsea_Plan,Info,string,Info,Additional information,
Crs_Highsea_Comfort,CaseId,int,Scenario Key, Scenario hash key,
Crs_Highsea_Comfort,ReportTime,double,Report time, Time,
Crs_Highsea_Comfort,Type,int,Crs Code,Crs identification code,
Crs_Highsea_Comfort,Penalty,float,Penalty Score,Penalty Score,
Crs_Highsea_Comfort,Situation,string,Situation,Situation description,
Crs_Highsea_Comfort,Info,string,Info,Additional information,
Crs_Highsea_Grounding,CaseId,int,Scenario Key, Scenario hash key,
Crs_Highsea_Grounding,ReportTime,double,Report time, Time,
Crs_Highsea_Grounding,Type,int,Crs Code,Crs identification code,
Crs_Highsea_Grounding,Penalty,float,Penalty Score,Penalty Score,
Crs_Highsea_Grounding,Situation,string,Situation,Situation description,
Crs_Highsea_Grounding,Info,string,Info,Additional information,
Crs_Highsea_DayTime,CaseId,int,Scenario Key, Scenario hash key,
Crs_Highsea_DayTime,ReportTime,double,Report time, Time,
Crs_Highsea_DayTime,Type,int,Crs Code,Crs identification code,
Crs_Highsea_DayTime,Penalty,float,Penalty Score,Penalty Score,
Crs_Highsea_DayTime,Situation,string,Situation,Situation description,
Crs_Highsea_DayTime,Info,string,Info,Additional information,
Crs_Highsea_NightTime,CaseId,int,Scenario Key, Scenario hash key,
Crs_Highsea_NightTime,ReportTime,double,Report time, Time,
Crs_Highsea_NightTime,Type,int,Crs Code,Crs identification code,
Crs_Highsea_NightTime,Penalty,float,Penalty Score,Penalty Score,
Crs_Highsea_NightTime,Situation,string,Situation,Situation description,
Crs_Highsea_NightTime,Info,string,Info,Additional information,
Crs_Highsea_Headon,CaseId,int,Scenario Key, Scenario hash key,
Crs_Highsea_Headon,ReportTime,double,Report time, Time,
Crs_Highsea_Headon,Type,int,Crs Code,Crs identification code,
Crs_Highsea_Headon,Penalty,float,Penalty Score,Penalty Score,
Crs_Highsea_Headon,Situation,string,Situation,Situation description,
Crs_Highsea_Headon,Info,string,Info,Additional information,
Crs_Highsea_Berthing,CaseId,int,Scenario Key, Scenario hash key,
Crs_Highsea_Berthing,ReportTime,double,Report time, Time,
Crs_Highsea_Berthing,Type,int,Crs Code,Crs identification code,
Crs_Highsea_Berthing,Penalty,float,Penalty Score,Penalty Score,
Crs_Highsea_Berthing,Situation,string,Situation,Situation description,
Crs_Highsea_Berthing,Info,string,Info,Additional information,
Crs_Highsea_Overtaking,CaseId,int,Scenario Key, Scenario hash key,
Crs_Highsea_Overtaking,ReportTime,double,Report time, Time,
Crs_Highsea_Overtaking,Type,int,Crs Code,Crs identification code,
Crs_Highsea_Overtaking,Penalty,float,Penalty Score,Penalty Score,
Crs_Highsea_Overtaking,Situation,string,Situation,Situation description,
Crs_Highsea_Overtaking,Info,string,Info,Additional information,
Crs_Highsea_GiveWay,CaseId,int,Scenario Key, Scenario hash key,
Crs_Highsea_GiveWay,ReportTime,double,Report time, Time,
Crs_Highsea_GiveWay,Type,int,Crs Code,Crs identification code,
Crs_Highsea_GiveWay,Penalty,float,Penalty Score,Penalty Score,
Crs_Highsea_GiveWay,Situation,string,Situation,Situation description,
Crs_Highsea_GiveWay,Info,string,Info,Additional information,
Crs_Highsea_Speed,CaseId,int,Scenario Key, Scenario hash key,
Crs_Highsea_Speed,ReportTime,double,Report time, Time,
Crs_Highsea_Speed,Type,int,Crs Code,Crs identification code,
Crs_Highsea_Speed,Penalty,float,Penalty Score,Penalty Score,
Crs_Highsea_Speed,Situation,string,Situation,Situation description,
Crs_Highsea_Speed,Info,string,Info,Additional information,
Crs_Highsea_Signal,CaseId,int,Scenario Key, Scenario hash key,
Crs_Highsea_Signal,ReportTime,double,Report time, Time,
Crs_Highsea_Signal,Type,int,Crs Code,Crs identification code,
Crs_Highsea_Signal,Penalty,float,Penalty Score,Penalty Score,
Crs_Highsea_Signal,Situation,string,Situation,Situation description,
Crs_Highsea_Signal,Info,string,Info,Additional information,
Crs_Highsea_Discipline,CaseId,int,Scenario Key, Scenario hash key,
Crs_Highsea_Discipline,ReportTime,double,Report time, Time,
Crs_Highsea_Discipline,Type,int,Crs Code,Crs identification code,
Crs_Highsea_Discipline,Penalty,float,Penalty Score,Penalty Score,
Crs_Highsea_Discipline,Situation,string,Situation,Situation description,
Crs_Highsea_Discipline,Info,string,Info,Additional information,
Crs_Highsea_Collision,CaseId,int,Scenario Key, Scenario hash key,
Crs_Highsea_Collision,ReportTime,double,Report time, Time,
Crs_Highsea_Collision,Type,int,Crs Code,Crs identification code,
Crs_Highsea_Collision,Penalty,float,Penalty Score,Penalty Score,
Crs_Highsea_Collision,Situation,string,Situation,Situation description,
Crs_Highsea_Collision,Info,string,Info,Additional information,
Crs_Coastal_Misc,CaseId,int,Scenario Key, Scenario hash key,
Crs_Coastal_Misc,ReportTime,double,Report time, Time,
Crs_Coastal_Misc,Type,int,Crs Code,Crs identification code,
Crs_Coastal_Misc,Penalty,float,Penalty Score,Penalty Score,
Crs_Coastal_Misc,Situation,string,Situation,Situation description,
Crs_Coastal_Misc,Info,string,Info,Additional information,
Crs_Coastal_Plan,CaseId,int,Scenario Key, Scenario hash key,
Crs_Coastal_Plan,ReportTime,double,Report time, Time,
Crs_Coastal_Plan,Type,int,Crs Code,Crs identification code,
Crs_Coastal_Plan,Penalty,float,Penalty Score,Penalty Score,
Crs_Coastal_Plan,Situation,string,Situation,Situation description,
Crs_Coastal_Plan,Info,string,Info,Additional information,
Crs_Coastal_Comfort,CaseId,int,Scenario Key, Scenario hash key,
Crs_Coastal_Comfort,ReportTime,double,Report time, Time,
Crs_Coastal_Comfort,Type,int,Crs Code,Crs identification code,
Crs_Coastal_Comfort,Penalty,float,Penalty Score,Penalty Score,
Crs_Coastal_Comfort,Situation,string,Situation,Situation description,
Crs_Coastal_Comfort,Info,string,Info,Additional information,
Crs_Coastal_Grounding,CaseId,int,Scenario Key, Scenario hash key,
Crs_Coastal_Grounding,ReportTime,double,Report time, Time,
Crs_Coastal_Grounding,Type,int,Crs Code,Crs identification code,
Crs_Coastal_Grounding,Penalty,float,Penalty Score,Penalty Score,
Crs_Coastal_Grounding,Situation,string,Situation,Situation description,
Crs_Coastal_Grounding,Info,string,Info,Additional information,
Crs_Coastal_DayTime,CaseId,int,Scenario Key, Scenario hash key,
Crs_Coastal_DayTime,ReportTime,double,Report time, Time,
Crs_Coastal_DayTime,Type,int,Crs Code,Crs identification code,
Crs_Coastal_DayTime,Penalty,float,Penalty Score,Penalty Score,
Crs_Coastal_DayTime,Situation,string,Situation,Situation description,
Crs_Coastal_DayTime,Info,string,Info,Additional information,
Crs_Coastal_NightTime,CaseId,int,Scenario Key, Scenario hash key,
Crs_Coastal_NightTime,ReportTime,double,Report time, Time,
Crs_Coastal_NightTime,Type,int,Crs Code,Crs identification code,
Crs_Coastal_NightTime,Penalty,float,Penalty Score,Penalty Score,
Crs_Coastal_NightTime,Situation,string,Situation,Situation description,
Crs_Coastal_NightTime,Info,string,Info,Additional information,
Crs_Coastal_Headon,CaseId,int,Scenario Key, Scenario hash key,
Crs_Coastal_Headon,ReportTime,double,Report time, Time,
Crs_Coastal_Headon,Type,int,Crs Code,Crs identification code,
Crs_Coastal_Headon,Penalty,float,Penalty Score,Penalty Score,
Crs_Coastal_Headon,Situation,string,Situation,Situation description,
Crs_Coastal_Headon,Info,string,Info,Additional information,
Crs_Coastal_Berthing,CaseId,int,Scenario Key, Scenario hash key,
Crs_Coastal_Berthing,ReportTime,double,Report time, Time,
Crs_Coastal_Berthing,Type,int,Crs Code,Crs identification code,
Crs_Coastal_Berthing,Penalty,float,Penalty Score,Penalty Score,
Crs_Coastal_Berthing,Situation,string,Situation,Situation description,
Crs_Coastal_Berthing,Info,string,Info,Additional information,
Crs_Coastal_Overtaking,CaseId,int,Scenario Key, Scenario hash key,
Crs_Coastal_Overtaking,ReportTime,double,Report time, Time,
Crs_Coastal_Overtaking,Type,int,Crs Code,Crs identification code,
Crs_Coastal_Overtaking,Penalty,float,Penalty Score,Penalty Score,
Crs_Coastal_Overtaking,Situation,string,Situation,Situation description,
Crs_Coastal_Overtaking,Info,string,Info,Additional information,
Crs_Coastal_GiveWay,CaseId,int,Scenario Key, Scenario hash key,
Crs_Coastal_GiveWay,ReportTime,double,Report time, Time,
Crs_Coastal_GiveWay,Type,int,Crs Code,Crs identification code,
Crs_Coastal_GiveWay,Penalty,float,Penalty Score,Penalty Score,
Crs_Coastal_GiveWay,Situation,string,Situation,Situation description,
Crs_Coastal_GiveWay,Info,string,Info,Additional information,
Crs_Coastal_Speed,CaseId,int,Scenario Key, Scenario hash key,
Crs_Coastal_Speed,ReportTime,double,Report time, Time,
Crs_Coastal_Speed,Type,int,Crs Code,Crs identification code,
Crs_Coastal_Speed,Penalty,float,Penalty Score,Penalty Score,
Crs_Coastal_Speed,Situation,string,Situation,Situation description,
Crs_Coastal_Speed,Info,string,Info,Additional information,
Crs_Coastal_Signal,CaseId,int,Scenario Key, Scenario hash key,
Crs_Coastal_Signal,ReportTime,double,Report time, Time,
Crs_Coastal_Signal,Type,int,Crs Code,Crs identification code,
Crs_Coastal_Signal,Penalty,float,Penalty Score,Penalty Score,
Crs_Coastal_Signal,Situation,string,Situation,Situation description,
Crs_Coastal_Signal,Info,string,Info,Additional information,
Crs_Coastal_Discipline,CaseId,int,Scenario Key, Scenario hash key,
Crs_Coastal_Discipline,ReportTime,double,Report time, Time,
Crs_Coastal_Discipline,Type,int,Crs Code,Crs identification code,
Crs_Coastal_Discipline,Penalty,float,Penalty Score,Penalty Score,
Crs_Coastal_Discipline,Situation,string,Situation,Situation description,
Crs_Coastal_Discipline,Info,string,Info,Additional information,
Crs_Coastal_Collision,CaseId,int,Scenario Key, Scenario hash key,
Crs_Coastal_Collision,ReportTime,double,Report time, Time,
Crs_Coastal_Collision,Type,int,Crs Code,Crs identification code,
Crs_Coastal_Collision,Penalty,float,Penalty Score,Penalty Score,
Crs_Coastal_Collision,Situation,string,Situation,Situation description,
Crs_Coastal_Collision,Info,string,Info,Additional information,
Crs_Domestic_Misc,CaseId,int,Scenario Key, Scenario hash key,
Crs_Domestic_Misc,ReportTime,double,Report time, Time,
Crs_Domestic_Misc,Type,int,Crs Code,Crs identification code,
Crs_Domestic_Misc,Penalty,float,Penalty Score,Penalty Score,
Crs_Domestic_Misc,Situation,string,Situation,Situation description,
Crs_Domestic_Misc,Info,string,Info,Additional information,
Crs_Domestic_Plan,CaseId,int,Scenario Key, Scenario hash key,
Crs_Domestic_Plan,ReportTime,double,Report time, Time,
Crs_Domestic_Plan,Type,int,Crs Code,Crs identification code,
Crs_Domestic_Plan,Penalty,float,Penalty Score,Penalty Score,
Crs_Domestic_Plan,Situation,string,Situation,Situation description,
Crs_Domestic_Plan,Info,string,Info,Additional information,
Crs_Domestic_Comfort,CaseId,int,Scenario Key, Scenario hash key,
Crs_Domestic_Comfort,ReportTime,double,Report time, Time,
Crs_Domestic_Comfort,Type,int,Crs Code,Crs identification code,
Crs_Domestic_Comfort,Penalty,float,Penalty Score,Penalty Score,
Crs_Domestic_Comfort,Situation,string,Situation,Situation description,
Crs_Domestic_Comfort,Info,string,Info,Additional information,
Crs_Domestic_Grounding,CaseId,int,Scenario Key, Scenario hash key,
Crs_Domestic_Grounding,ReportTime,double,Report time, Time,
Crs_Domestic_Grounding,Type,int,Crs Code,Crs identification code,
Crs_Domestic_Grounding,Penalty,float,Penalty Score,Penalty Score,
Crs_Domestic_Grounding,Situation,string,Situation,Situation description,
Crs_Domestic_Grounding,Info,string,Info,Additional information,
Crs_Domestic_DayTime,CaseId,int,Scenario Key, Scenario hash key,
Crs_Domestic_DayTime,ReportTime,double,Report time, Time,
Crs_Domestic_DayTime,Type,int,Crs Code,Crs identification code,
Crs_Domestic_DayTime,Penalty,float,Penalty Score,Penalty Score,
Crs_Domestic_DayTime,Situation,string,Situation,Situation description,
Crs_Domestic_DayTime,Info,string,Info,Additional information,
Crs_Domestic_NightTime,CaseId,int,Scenario Key, Scenario hash key,
Crs_Domestic_NightTime,ReportTime,double,Report time, Time,
Crs_Domestic_NightTime,Type,int,Crs Code,Crs identification code,
Crs_Domestic_NightTime,Penalty,float,Penalty Score,Penalty Score,
Crs_Domestic_NightTime,Situation,string,Situation,Situation description,
Crs_Domestic_NightTime,Info,string,Info,Additional information,
Crs_Domestic_Headon,CaseId,int,Scenario Key, Scenario hash key,
Crs_Domestic_Headon,ReportTime,double,Report time, Time,
Crs_Domestic_Headon,Type,int,Crs Code,Crs identification code,
Crs_Domestic_Headon,Penalty,float,Penalty Score,Penalty Score,
Crs_Domestic_Headon,Situation,string,Situation,Situation description,
Crs_Domestic_Headon,Info,string,Info,Additional information,
Crs_Domestic_Berthing,CaseId,int,Scenario Key, Scenario hash key,
Crs_Domestic_Berthing,ReportTime,double,Report time, Time,
Crs_Domestic_Berthing,Type,int,Crs Code,Crs identification code,
Crs_Domestic_Berthing,Penalty,float,Penalty Score,Penalty Score,
Crs_Domestic_Berthing,Situation,string,Situation,Situation description,
Crs_Domestic_Berthing,Info,string,Info,Additional information,
Crs_Domestic_Overtaking,CaseId,int,Scenario Key, Scenario hash key,
Crs_Domestic_Overtaking,ReportTime,double,Report time, Time,
Crs_Domestic_Overtaking,Type,int,Crs Code,Crs identification code,
Crs_Domestic_Overtaking,Penalty,float,Penalty Score,Penalty Score,
Crs_Domestic_Overtaking,Situation,string,Situation,Situation description,
Crs_Domestic_Overtaking,Info,string,Info,Additional information,
Crs_Domestic_GiveWay,CaseId,int,Scenario Key, Scenario hash key,
Crs_Domestic_GiveWay,ReportTime,double,Report time, Time,
Crs_Domestic_GiveWay,Type,int,Crs Code,Crs identification code,
Crs_Domestic_GiveWay,Penalty,float,Penalty Score,Penalty Score,
Crs_Domestic_GiveWay,Situation,string,Situation,Situation description,
Crs_Domestic_GiveWay,Info,string,Info,Additional information,
Crs_Domestic_Speed,CaseId,int,Scenario Key, Scenario hash key,
Crs_Domestic_Speed,ReportTime,double,Report time, Time,
Crs_Domestic_Speed,Type,int,Crs Code,Crs identification code,
Crs_Domestic_Speed,Penalty,float,Penalty Score,Penalty Score,
Crs_Domestic_Speed,Situation,string,Situation,Situation description,
Crs_Domestic_Speed,Info,string,Info,Additional information,
Crs_Domestic_Signal,CaseId,int,Scenario Key, Scenario hash key,
Crs_Domestic_Signal,ReportTime,double,Report time, Time,
Crs_Domestic_Signal,Type,int,Crs Code,Crs identification code,
Crs_Domestic_Signal,Penalty,float,Penalty Score,Penalty Score,
Crs_Domestic_Signal,Situation,string,Situation,Situation description,
Crs_Domestic_Signal,Info,string,Info,Additional information,
Crs_Domestic_Discipline,CaseId,int,Scenario Key, Scenario hash key,
Crs_Domestic_Discipline,ReportTime,double,Report time, Time,
Crs_Domestic_Discipline,Type,int,Crs Code,Crs identification code,
Crs_Domestic_Discipline,Penalty,float,Penalty Score,Penalty Score,
Crs_Domestic_Discipline,Situation,string,Situation,Situation description,
Crs_Domestic_Discipline,Info,string,Info,Additional information,
Crs_Domestic_Collision,CaseId,int,Scenario Key, Scenario hash key,
Crs_Domestic_Collision,ReportTime,double,Report time, Time,
Crs_Domestic_Collision,Type,int,Crs Code,Crs identification code,
Crs_Domestic_Collision,Penalty,float,Penalty Score,Penalty Score,
Crs_Domestic_Collision,Situation,string,Situation,Situation description,
Crs_Domestic_Collision,Info,string,Info,Additional information,
Crs_Interior_Misc,CaseId,int,Scenario Key, Scenario hash key,
Crs_Interior_Misc,ReportTime,double,Report time, Time,
Crs_Interior_Misc,Type,int,Crs Code,Crs identification code,
Crs_Interior_Misc,Penalty,float,Penalty Score,Penalty Score,
Crs_Interior_Misc,Situation,string,Situation,Situation description,
Crs_Interior_Misc,Info,string,Info,Additional information,
Crs_Interior_Plan,CaseId,int,Scenario Key, Scenario hash key,
Crs_Interior_Plan,ReportTime,double,Report time, Time,
Crs_Interior_Plan,Type,int,Crs Code,Crs identification code,
Crs_Interior_Plan,Penalty,float,Penalty Score,Penalty Score,
Crs_Interior_Plan,Situation,string,Situation,Situation description,
Crs_Interior_Plan,Info,string,Info,Additional information,
Crs_Interior_Comfort,CaseId,int,Scenario Key, Scenario hash key,
